r,lambda_1,lambda_2,lambda_3
1.9,-0.00347384805385383,-0.00372251301147631,-0.425717171718816
1.9011011011011,-0.00327146981911396,-0.0035163635345398,-0.426960973076137
1.9022022022022,-0.00306932355090022,-0.00331129673650812,-0.428205922748397
1.9033033033033,-0.00286610570835512,-0.00310597152918974,-0.429451685142257
1.9044044044044,-0.00266145511489414,-0.0029014117038379,-0.430698291223286
1.90550550550551,-0.00245568435931529,-0.00269795039474227,-0.431945844310895
1.90660660660661,-0.00224904292743803,-0.00249500768562604,-0.433193512889081
1.90770770770771,-0.00204164993147148,-0.00229258115698617,-0.434441643624899
1.90880880880881,-0.00183417634613546,-0.00209152906283623,-0.435689785645482
1.90990990990991,-0.00162552224298952,-0.00189125796311501,-0.436937730095931
1.91101101101101,-0.00141627916024147,-0.00169256173066097,-0.43818464847009
1.91211211211211,-0.00120651784123,-0.00149632373769413,-0.43942996350003
1.91321321321321,-0.000996079705349488,-0.00130357215067417,-0.440672853842417
1.91431431431431,-0.000785647812330444,-0.00111653181268993,-0.441910855115259
1.91541541541542,-0.000576086003473058,-0.00093768833814247,-0.443139166133485
1.91651651651652,-0.000372485884661097,-0.000776924853710011,-0.44434365020859
1.91761761761762,-0.000202585136786527,-0.000691670462971164,-0.445439765242504
1.91871871871872,-0.00013016953195511,-0.000930219321260907,-0.446097761421943
1.91981981981982,-0.000109684000896495,-0.00129959125605448,-0.44657473363389
1.92092092092092,-0.000103813238589526,-0.00171100961897334,-0.446980520853855
1.92202202202202,-0.000104962108996984,-0.00210201476646804,-0.447407893934435
1.92312312312312,-0.00011244314964071,-0.00252845334856512,-0.447789166823526
1.92422422422422,-9.79636111839842e-05,-0.00296138297667208,-0.448186762580789
1.92532532532533,-8.81686229731242e-05,-0.00340539310910891,-0.448578721875593
1.92642642642643,-7.37223625775649e-05,-0.00386819781715933,-0.44893314906762
1.92752752752753,-7.25480332259907e-05,-0.00429332689900413,-0.449341829367568
1.92862862862863,-8.4425980062385e-05,-0.00475321863019375,-0.449674209170931
1.92972972972973,-8.89778186457101e-05,-0.00517714565052569,-0.45006912639737
1.93083083083083,-8.62335735240395e-05,-0.00564877594752424,-0.450420739540555
1.93193193193193,-6.63406494479807e-05,-0.00613128481018471,-0.45076342077603
1.93303303303303,-5.86965548102461e-05,-0.00658813678563636,-0.451150543706487
1.93413413413413,-6.58304116229449e-05,-0.00707751315996369,-0.451451763229086
1.93523523523524,-6.84706549525178e-05,-0.00751462595395637,-0.451844802662588
1.93633633633634,-8.63846814438639e-05,-0.00799890919372966,-0.452156771168529
1.93743743743744,-6.52158657722968e-05,-0.0084896415019007,-0.452496717320929
1.93853853853854,-5.81007416599569e-05,-0.00897565816114258,-0.452855083767485
1.93963963963964,-5.24439024028092e-05,-0.00949547820245477,-0.453134115728363
1.94074074074074,-5.53289760242309e-05,-0.00994951948270568,-0.453517863406202
1.94184184184184,-7.7114964399345e-05,-0.0104589254451327,-0.453793731580075
1.94294294294294,-6.41794876444846e-05,-0.0109493333830471,-0.454131338131593
1.94404404404404,-6.01901775997715e-05,-0.0114630390279503,-0.454457019209637
1.94514514514515,-4.70061081107757e-05,-0.012007315309149,-0.454717971535783
1.94624624624625,-4.43136907624129e-05,-0.0124864648749611,-0.455087161496945
1.94734734734735,-6.58509344590231e-05,-0.0130239940523424,-0.455329043484999
1.94844844844845,-6.3569283843469e-05,-0.0135158483242552,-0.455661837710221
1.94954954954955,-6.29369467927426e-05,-0.0140572004038727,-0.455953525261555
1.95065065065065,-4.24421475526069e-05,-0.0146242219346063,-0.456198181879806
1.95175175175175,-3.94788868790595e-05,-0.015129177242471,-0.456546926524294
1.95285285285285,-5.77310657443708e-05,-0.0156961102698314,-0.456756261386936
1.95395395395395,-5.94605658600738e-05,-0.0161981975756847,-0.457081053900847
1.95505505505505,-6.29081173361896e-05,-0.0167661235306336,-0.4573383540323
1.95615615615616,-3.86393593766924e-05,-0.0173555125876005,-0.457566896658125
1.95725725725726,-3.47405841238514e-05,-0.0178874405911814,-0.457891198614897
1.95835835835836,-5.19102834446748e-05,-0.0184845532834932,-0.45806808065472
1.95945945945946,-5.64805362829846e-05,-0.0190025281595563,-0.458380671654085
1.96056056056056,-6.36744272279797e-05,-0.0195972886737841,-0.458603121619657
1.96166166166166,-3.70503693926761e-05,-0.020209732151842,-0.45881266505857
1.96276276276276,-3.17433573496808e-05,-0.0207708564125346,-0.459110317016289
1.96386386386386,-4.72836167983605e-05,-0.021399822415236,-0.459254482702206
1.96496496496496,-5.05502810648799e-05,-0.0219386136119768,-0.459550114415392
1.96606606606607,-6.40102321690797e-05,-0.0225621457355903,-0.459737668513342
1.96716716716717,-3.40528083220293e-05,-0.0232001225227048,-0.459924198431377
1.96826826826827,-3.09556064972744e-05,-0.0237933676938842,-0.460192979277317
1.96936936936937,-4.34480667634932e-05,-0.0244547185732818,-0.460302900517116
